Subject,Class Mark
Accountancy,HF
American History,E
American History,F
American Literature,PS
Archaeology,CC
Art,N
Astrophysics,QB
Biochemistry,QP
Biochemistry,RB
Biology,QH
Biomedical Science,QR
Biomedical Science,RB
Botany,QK and S
British History,DA
Business,HD
Business,HF
Chemistry,QD
Chinese,PL
Computing,QA and TK
Counselling and Psychotherapy,RC
Criminology,HV
Ecology,QH
Economics,HA
Economics,HA
Education,L
English Language,PE
English Literature,PR
Environmental Studies,GE
Environmental Studies,GF
Film Studies,PN
Finance,HG to HJ
Forensic Science,HV
French,PC
Geography,G to GF
Geology and Geoscience,QE
German,PF
History,D
Human Biology,QM
Human Biology,QR
Human Resource Management,HD
Human Resource Management,HF
International Law,JX
International Relations,JZ
Italian,PC
Japanese,PL
Law,K
Management and Marketing,HD
Management and Marketing,HF
Mathematics,QA
Media Studies,P
Medicinal Chemistry,QP
Medicine,R
Mental Health,RA
Mental Health,RC
Music Technology,MT
Music Technology,ML
Neuroscience,RC
Nursing,RI
Pharmacology,RM
Pharmacy,RS
Philosophy,B
Philosophy,BJ
Physics,QC
Physiology,QP
Physiotherapy,RM
Politics,J
Politics,JX
Psychology,BF
Radiography,RC
Religion,BL
Religion,BX
Russian,PG
Social Work,HV
Sociology,HM
Sociology,HT
Spanish,PC
Veterinary Medicine,SF
